cell,stage,arm,theorem,seed,cap,solved,qualified,failed,cost,requests,rocq_seconds,input,cached,output,uncached_cost
validation__ace__mathd_algebra_433__seed1,validation,ace,mathd_algebra_433,1,0.1,True,True,False,0.0038207199999999997,5,1.263251624070108,36608,26816,1105,0.008647599999999998
validation__agentic__mathd_algebra_282__seed1,validation,agentic,mathd_algebra_282,1,0.1,False,False,False,0.0295687,46,8.118654299527407,829310,793845,5499,0.17246079999999997
validation__ace__amc12a_2020_p21__seed0,validation,ace,amc12a_2020_p21,0,0.1,False,False,False,0.039585140000000005,29,31.266425871290267,383446,296627,13574,0.092978
validation__ace__mathd_numbertheory_284__seed0,validation,ace,mathd_numbertheory_284,0,0.1,True,True,False,0.0006222599999999999,1,0.8907500989735126,6081,4873,236,0.0014994
validation__agentic__aime_1989_p8__seed1,validation,agentic,aime_1989_p8,1,0.1,True,True,False,0.00048793999999999997,1,0.6000892575830221,4378,2607,68,0.0009572
validation__agentic__amc12a_2002_p6__seed1,validation,agentic,amc12a_2002_p6,1,0.1,True,True,False,0.00087,1,0.5226718122139573,3810,0,90,0.00087
validation__agentic__amc12b_2002_p3__seed0,validation,agentic,amc12b_2002_p3,0,0.1,True,True,False,0.00974504,11,3.2677003014832735,79393,55922,3277,0.019811
validation__ace__imo_1964_p2__seed1,validation,ace,imo_1964_p2,1,0.1,False,False,False,0.037584299999999994,15,12.108765709213912,220437,118475,12352,0.0589098
validation__agentic__imo_1964_p2__seed1,validation,agentic,imo_1964_p2,1,0.1,False,False,False,0.041607719999999994,16,3.702705582603812,176064,57086,13892,0.05188319999999999
validation__agentic__mathd_numbertheory_37__seed0,validation,agentic,mathd_numbertheory_37,0,0.1,False,False,False,0.030040439999999998,34,263.0552898738533,331581,264772,9486,0.07769939999999999
validation__agentic__mathd_numbertheory_461__seed1,validation,agentic,mathd_numbertheory_461,1,0.1,True,True,False,0.00119798,2,0.5863478556275368,7861,3799,258,0.0018817999999999999
validation__ace__aime_1991_p9__seed0,validation,ace,aime_1991_p9,0,0.1,False,False,False,0.037475619999999994,19,1.9916589641943574,254018,151991,11692,0.064834
validation__ace__induction_prod1p1onk3le3m1onn__seed1,validation,ace,induction_prod1p1onk3le3m1onn,1,0.1,False,False,False,0.0345888,26,1.443135628476739,426951,352090,10479,0.097965
validation__agentic__imo_1969_p2__seed1,validation,agentic,imo_1969_p2,1,0.1,False,False,False,0.0353756,20,5.103451474569738,312826,209880,8824,0.073154
validation__agentic__aime_1991_p9__seed1,validation,agentic,aime_1991_p9,1,0.1,False,False,False,0.040570220000000004,28,2.2363760452717543,263989,164771,14526,0.070229
validation__agentic__mathd_numbertheory_64__seed1,validation,agentic,mathd_numbertheory_64,1,0.1,True,True,False,0.011831359999999999,11,2.929731449112296,80974,62888,5797,0.023151199999999997
validation__ace__mathd_numbertheory_43__seed0,validation,ace,mathd_numbertheory_43,0,0.1,False,False,False,0.030348519999999997,20,284.4467009017244,264962,201306,11326,0.06658359999999999
validation__agentic__mathd_algebra_190__seed1,validation,agentic,mathd_algebra_190,1,0.1,True,True,False,0.00058574,1,0.6005144650116563,3751,2607,254,0.001055
validation__ace__mathd_numbertheory_303__seed0,validation,ace,mathd_numbertheory_303,0,0.1,False,False,False,0.037447499999999995,20,47.52264370582998,296811,209835,13213,0.0752178
validation__ace__amc12b_2020_p5__seed0,validation,ace,amc12b_2020_p5,0,0.1,True,True,False,0.00059486,1,0.8738438030704856,6310,4873,175,0.0014719999999999998
validation__ace__mathd_algebra_327__seed1,validation,ace,mathd_algebra_327,1,0.1,True,True,False,0.0016399399999999999,3,0.7442903518676758,21673,17157,328,0.0047282
validation__ace__aime_1991_p6__seed0,validation,ace,aime_1991_p6,0,0.1,False,False,False,0.027599439999999996,23,101.41395830363035,399242,345272,8250,0.0897484
validation__ace__mathd_numbertheory_303__seed1,validation,ace,mathd_numbertheory_303,1,0.1,False,False,False,0.061302579999999995,11,20.237326342612505,156518,97219,39582,0.078802
validation__agentic__aime_1991_p6__seed1,validation,agentic,aime_1991_p6,1,0.1,False,False,False,0.03271258,17,40.91485513467342,243197,172969,12673,0.063847
validation__agentic__mathd_numbertheory_461__seed0,validation,agentic,mathd_numbertheory_461,0,0.1,True,True,False,0.00020018,1,0.5740986214950681,3802,3799,103,0.0008839999999999999
validation__ace__imo_1981_p6__seed0,validation,ace,imo_1981_p6,0,0.1,True,True,False,0.012629360000000001,10,1.5381199959665537,113758,83148,4037,0.027596
validation__ace__amc12a_2008_p4__seed1,validation,ace,amc12a_2008_p4,1,0.1,False,False,False,0.025813300000000004,45,7.766394873149693,638675,616125,7484,0.1367158
validation__ace__imo_1960_p2__seed1,validation,ace,imo_1960_p2,1,0.1,True,True,False,0.00686324,7,1.3002997310832143,58330,47882,3180,0.015482
validation__agentic__amc12b_2002_p3__seed1,validation,agentic,amc12b_2002_p3,1,0.1,True,True,False,0.01254874,15,9.246718070469797,129146,102967,4378,0.0310828
validation__agentic__mathd_algebra_393__seed0,validation,agentic,mathd_algebra_393,0,0.1,True,True,False,0.0045851799999999995,4,1.10568278003484,19367,11799,2363,0.006709
validation__agentic__mathd_algebra_234__seed0,validation,agentic,mathd_algebra_234,0,0.1,True,True,False,0.0007377999999999999,2,0.9459154400974512,7766,6370,276,0.0018844
validation__agentic__amc12b_2020_p5__seed1,validation,agentic,amc12b_2020_p5,1,0.1,True,True,False,0.00063376,2,0.8942622216418386,8243,6618,147,0.0018249999999999998
validation__agentic__amc12a_2013_p8__seed0,validation,agentic,amc12a_2013_p8,0,0.1,True,True,False,0.0069260599999999995,6,1.4581369739025831,32587,23003,3791,0.0110666
validation__agentic__mathd_numbertheory_405__seed0,validation,agentic,mathd_numbertheory_405,0,0.1,False,False,False,0.041922999999999995,11,39.68692727666348,198419,76500,13341,0.05569299999999999
validation__ace__mathd_algebra_393__seed1,validation,ace,mathd_algebra_393,1,0.1,True,True,False,0.011955359999999998,9,1.2017194610089064,82752,66148,6093,0.023862
validation__agentic__mathd_algebra_234__seed1,validation,agentic,mathd_algebra_234,1,0.1,True,True,False,0.00026906,1,0.9906068975105882,3766,3763,161,0.0009464
